event_id,run_id,event_type,server_timestamp,client_timestamp,session_id,device_id,zone,cue_id,target_zone,latency_ms,software_version,payload
E0001,RUN-2026-09-17-DEMO-01,run_started,2026-09-17T18:00:00Z,,,,,,,,,"{""show"":""Crowds Demo"",""operator"":""OP-01""}"
E0002,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:03Z,2026-09-17T18:00:02.985000Z,S01-1,D01,A,,,,2.3.1,"{""ready"":true}"
E0003,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:05Z,2026-09-17T18:00:04.897000Z,S02-1,D02,A,,,,2.3.1,"{""ready"":true}"
E0004,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:07Z,2026-09-17T18:00:07.022000Z,S03-1,D03,A,,,,2.3.1,"{""ready"":true}"
E0005,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:09Z,2026-09-17T18:00:09.153000Z,S04-1,D04,A,,,,2.2.9,"{""ready"":true}"
E0006,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:12Z,2026-09-17T18:00:11.844000Z,S05-1,D05,A,,,,2.3.1,"{""ready"":true}"
E0007,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:14Z,2026-09-17T18:00:13.857000Z,S06-1,D06,A,,,,2.3.1,"{""ready"":true}"
E0008,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:17Z,2026-09-17T18:00:17.094000Z,S07-1,D07,A,,,,2.3.1,"{""ready"":true}"
E0009,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:19Z,2026-09-17T18:00:18.868000Z,S08-1,D08,A,,,,2.3.1,"{""ready"":true}"
E0010,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:22Z,2026-09-17T18:00:22.007000Z,S09-1,D09,B,,,,2.3.1,"{""ready"":true}"
E0011,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:24Z,2026-09-17T18:00:24.118000Z,S10-1,D10,B,,,,2.3.1,"{""ready"":true}"
E0012,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:26Z,2026-09-17T18:00:25.849000Z,S11-1,D11,B,,,,2.3.1,"{""ready"":true}"
E0013,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:29Z,2026-09-17T18:00:29.079000Z,S12-1,D12,B,,,,2.2.9,"{""ready"":true}"
E0014,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:31Z,2026-09-17T18:00:30.929000Z,S13-1,D13,B,,,,2.3.1,"{""ready"":true}"
E0015,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:34Z,2026-09-17T18:00:33.839000Z,S14-1,D14,B,,,,2.3.1,"{""ready"":true}"
E0016,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:36Z,2026-09-17T18:00:35.864000Z,S15-1,D15,B,,,,2.3.1,"{""ready"":true}"
E0017,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:39Z,2026-09-17T18:00:39.042000Z,S16-1,D16,B,,,,2.3.1,"{""ready"":true}"
E0007,RUN-2026-09-17-DEMO-01,device_joined,2026-09-17T18:00:14Z,2026-09-17T18:00:13.857000Z,S06-1,D06,A,,,,2.3.1,"{""ready"":true}"
E0018,RUN-2026-09-17-DEMO-01,cue_sent,2026-09-17T18:01:00Z,,,,,CUE-01,ALL,,,"{""name"":""Collective Pulse""}"
E0019,RUN-2026-09-17-DEMO-01,cue_received,2026-09-17T18:01:00.152000Z,2026-09-17T18:01:00.049000Z,S01-1,D01,A,CUE-01,ALL,152,2.3.1,
E0020,RUN-2026-09-17-DEMO-01,cue_received,2026-09-17T18:01:00.106000Z,2026-09-17T18:01:00.009000Z,S02-1,D02,A,CUE-01,ALL,106,2.3.1,
E0021,RUN-2026-09-17-DEMO-01,cue_received,2026-09-17T18:01:00.186000Z,2026-09-17T18:01:00.174000Z,S03-1,D03,A,CUE-01,ALL,186,2.3.1,
